CO_NAME,CO_ABBR,Latitude,Longitude,Start_Yr_Pop,End_Yr_Pop,Perc_Change,Abs_Change,High_Growth
BRUNSWICK,BRUN,34.0389874664,-78.227328706,112409,137103,21.967991886770633,24694,True
PENDER,PEND,34.5150947885,-77.8884438411,54070,62168,14.976881819863141,8098,True
JOHNSTON,JOHN,35.5178068398,-78.3657108499,174207,199790,14.685402997583335,25583,True
CABARRUS,CABA,35.3867972799,-80.5518444037,183253,209150,14.131828674018978,25897,True
CHATHAM,CHAT,35.7025721306,-79.2552758614,65152,74264,13.985756385068763,9112,True
WAKE,WAKE,35.7902442783,-78.6503078949,944622,1070197,13.293677259263495,125575,True
MECKLENBURG,MECK,35.2464414431,-80.8326090433,961255,1088350,13.22177778008957,127095,True
CURRITUCK,CURR,36.3672994877,-75.9369491992,24118,27099,12.360063023467948,2981,True
UNION,UNIO,34.9883998951,-80.5307196787,207438,232465,12.06480972627966,25027,True
NEW HANOVER,NEWH,34.1814618077,-77.8655136447,209734,232248,10.734549476956525,22514,True
DURHAM,DURH,36.0360295274,-78.8765927905,281509,311163,10.533943852594412,29654,True
FRANKLIN,FRAN,36.082773352,-78.2856965867,61618,68012,10.37683793696647,6394,True
IREDELL,IRED,35.8066972939,-80.8734927389,162819,178730,9.772201033048969,15911,False
HARNETT,HARN,35.3686291629,-78.8694125197,121317,133172,9.771919846352944,11855,False
MOORE,MOOR,35.3106538539,-79.4813744347,90560,99390,9.750441696113073,8830,False
ALAMANCE,ALAM,36.0437102664,-79.3994244592,152545,166638,9.238585335474777,14093,False
CLAY,CLAY,35.0571811284,-83.7501767114,10709,11658,8.861705107853208,949,False
WATAUGA,WATA,36.2311062525,-81.6964251159,52439,57067,8.825492476973245,4628,False
HENDERSON,HEND,35.3362749154,-82.4799389729,107740,116857,8.462038240207907,9117,False
HOKE,HOKE,35.0175285054,-79.2372910998,50000,53992,7.983999999999999,3992,False
JACKSON,JACK,35.2874235132,-83.1408121312,40706,43819,7.647521249938584,3113,False
LINCOLN,LINC,35.4856654551,-81.2236741851,78757,84751,7.610752060134337,5994,False
CHEROKEE,CHER,35.1338574511,-84.0634442285,27414,29275,6.788502225140439,1861,False
BUNCOMBE,BUNC,35.6112070364,-82.5301064878,244725,261065,6.67688221473082,16340,False
GUILFORD,GUIL,36.079471732,-79.7889042757,501431,534346,6.564213221759325,32915,False
DARE,DARE,35.664936694,-75.6852333134,34759,36997,6.438620213469893,2238,False
TRANSYLVANIA,TRAN,35.2021277319,-82.7982927334,33020,35115,6.344639612356148,2095,False
HAYWOOD,HAYW,35.5560556014,-82.9821729336,59150,62839,6.236686390532544,3689,False
GASTON,GAST,35.2943689387,-81.1802453232,208317,221006,6.091197549887911,12689,False
POLK,POLK,35.2792872781,-82.1696679507,20309,21535,6.036732483135555,1226,False
MACON,MACO,35.1504738378,-83.4221851569,34050,36101,6.023494860499266,2051,False
MADISON,MADI,35.8580358098,-82.7057582644,21216,22361,5.396870286576169,1145,False
FORSYTH,FORS,36.1306195484,-80.2563000164,357490,376309,5.264203194494951,18819,False
ORANGE,ORAN,36.061117902,-79.1206489949,138300,145574,5.259580621836587,7274,False
CAMDEN,CAMD,36.3411216215,-76.1609504037,9966,10490,5.2578767810555895,524,False
GRANVILLE,GRAN,36.3040697571,-78.6527195301,57686,60700,5.224837915612107,3014,False
STANLY,STAN,35.3119550622,-80.2509863078,60363,63328,4.911949372960257,2965,False
DAVIE,DAVE,35.9291108659,-80.5444636486,41276,42976,4.118616144975288,1700,False
ONSLOW,ONSL,34.7098363481,-77.4157658245,191183,198740,3.952757305827401,7557,False
ALLEGHANY,ALLE,36.4912704371,-81.1278593464,10993,11422,3.902483398526335,429,False
LEE,LEE,35.4751864248,-79.1714836118,58820,60878,3.4988099285957155,2058,False
PITT,PITT,35.5932989746,-77.3744965519,172509,178440,3.4380814914004487,5931,False
CARTERET,CART,34.8612598085,-76.5357430669,68434,70696,3.305374521436713,2262,False
YANCEY,YANC,35.8989480369,-82.307627957,17874,18455,3.2505314982656373,581,False
DAVIDSON,DAVS,35.7933524918,-80.2127487756,162994,168093,3.1283360123685537,5099,False
TYRRELL,TYRR,35.869406847,-76.1704524053,4135,4260,3.0229746070133015,125,False
ROWAN,ROWA,35.6394735809,-80.5247716059,137765,141802,2.9303524117156026,4037,False
PERSON,PERS,36.3900951244,-78.9718051426,39115,40208,2.7943244279688098,1093,False
ALEXANDER,ALEX,35.9210263146,-81.1770268498,37323,38303,2.625726763657798,980,False
BURKE,BURK,35.7496102123,-81.7047782048,89619,91402,1.9895334694651805,1783,False
CATAWBA,CATA,35.6620423692,-81.2150704963,155692,158483,1.7926418826914678,2791,False
PAMLICO,PAML,35.151021226,-76.6694598428,13138,13359,1.682143400822043,221,False
CLEVELAND,CLEV,35.3339832081,-81.5555480564,97523,99140,1.6580704039047198,1617,False
ASHE,ASHE,36.4344247262,-81.5005212863,27170,27606,1.604711078395289,436,False
AVERY,AVER,36.0766050061,-81.9226014139,17810,18057,1.3868613138686132,247,False
RANDOLPH,RAND,35.7103417044,-79.8060069066,142419,144085,1.1697877389954991,1666,False
CASWELL,CASW,36.3932742159,-79.3335234769,23487,23679,0.8174734959764977,192,False
WILSON,WILS,35.7051457143,-77.918662955,81314,81949,0.780923334235187,635,False
WILKES,WILK,36.2062757626,-81.1633856615,69372,69913,0.7798535432162832,541,False
RUTHERFORD,RUTH,35.4025896644,-81.9198115836,67920,68423,0.7405771495877503,503,False
CALDWELL,CALD,35.9530379355,-81.5464366436,82695,83291,0.7207207207207207,596,False
VANCE,VANC,36.3649169827,-78.4079290354,45478,45764,0.6288755002418752,286,False
CUMBERLAND,CUMB,35.0486119406,-78.8275607657,330007,331764,0.5324129488162372,1757,False
SAMPSON,SAMP,34.9915361594,-78.3713906104,63967,64087,0.18759672956368126,120,False
DUPLIN,DUPL,34.9365348364,-77.933027746,59690,59772,0.1373764449656559,82,False
SWAIN,SWAI,35.4868315754,-83.4925985132,14423,14442,0.13173403591485822,19,False
NASH,NASH,35.9672503002,-77.9864448229,95212,95327,0.1207830945679116,115,False
GATES,GATE,36.4449435708,-76.7005266521,12104,12094,-0.08261731658955718,-10,False
SURRY,SURR,36.4148205645,-80.6880779221,73472,73232,-0.32665505226480834,-240,False
WAYNE,WAYN,35.3639599655,-78.0039971263,125169,124703,-0.3722966549225447,-466,False
YADKIN,YADK,36.1605336909,-80.6652439334,38269,38100,-0.4416107031801197,-169,False
PASQUOTANK,PASQ,36.2650187228,-76.2492413613,40018,39790,-0.569743615373082,-228,False
PERQUIMANS,PERQ,36.1772228503,-76.4076199894,13733,13652,-0.5898201412655647,-81,False
MONTGOMERY,MONT,35.3324682255,-79.9054779213,27796,27621,-0.6295869909339473,-175,False
BEAUFORT,BEAU,35.4869838298,-76.8453144251,47790,47475,-0.6591337099811676,-315,False
MITCHELL,MITC,36.013204133,-82.1635817067,15349,15223,-0.8209003843898626,-126,False
GREENE,GREE,35.4849957203,-77.6757626742,21239,21024,-1.012288714157917,-215,False
STOKES,STOK,36.4019036268,-80.2395162684,46995,46472,-1.1128843493988723,-523,False
ROCKINGHAM,ROCK,36.396012748,-79.7749874432,92800,91746,-1.1357758620689655,-1054,False
SCOTLAND,SCOT,34.8409251686,-79.48041877,36262,35744,-1.4284926369201918,-518,False
CRAVEN,CRAV,35.1176858211,-77.082003837,105170,103594,-1.4985261956831797,-1576,False
BLADEN,BLAD,34.6145873343,-78.5636493116,35103,34566,-1.529783779164174,-537,False
HERTFORD,HERT,36.3586360303,-76.980714783,24548,24093,-1.853511487697572,-455,False
GRAHAM,GRAH,35.350171951,-83.833581803,8862,8686,-1.9860076732114647,-176,False
RICHMOND,RICH,35.0059506585,-79.7478289436,46146,45199,-2.0521822043080657,-947,False
JONES,JONE,35.021724791,-77.3551679825,10410,10196,-2.0557156580211333,-214,False
ROBESON,ROBE,34.6401510868,-79.1038849174,134399,131600,-2.0826047812855752,-2799,False
MARTIN,MART,35.8432139949,-77.1092322588,23806,23264,-2.2767369570696463,-542,False
COLUMBUS,COLU,34.2655822587,-78.6550383137,57989,56424,-2.698787701115729,-1565,False
CHOWAN,CHOW,36.1265615389,-76.6021303656,14689,14173,-3.5128327319763084,-516,False
WARREN,WARR,36.3965102782,-78.1067171346,20828,20066,-3.6585365853658534,-762,False
LENOIR,LENO,35.2387731611,-77.6412486293,59280,56856,-4.089068825910931,-2424,False
NORTHAMPTON,NORT,36.4177428866,-77.3968502725,21502,20618,-4.111245465538089,-884,False
BERTIE,BERT,36.0656302022,-76.9667121404,20574,19709,-4.204335569164965,-865,False
HALIFAX,HALI,36.2574485454,-77.6517329832,53977,51552,-4.492654278674251,-2425,False
WASHINGTON,WASH,35.8392646425,-76.5693098876,12767,12153,-4.809273909297407,-614,False
ANSON,ANSO,34.973787397,-80.1027101912,26597,25288,-4.921607700116555,-1309,False
EDGECOMBE,EDGE,35.912880671,-77.5970588882,55975,52724,-5.807949977668602,-3251,False
HYDE,HYDE,35.4081186885,-76.1449650838,5708,5198,-8.934828311142256,-510,False
