CO_NAME,CO_ABBR,Latitude,Longitude,Start_Yr_Pop,End_Yr_Pop,Perc_Change,Abs_Change
BRUNSWICK,BRUN,34.0389874664,-78.227328706,112409,137103,21.967991886770633,24694
PENDER,PEND,34.5150947885,-77.8884438411,54070,62168,14.976881819863141,8098
JOHNSTON,JOHN,35.5178068398,-78.3657108499,174207,199790,14.685402997583335,25583
CABARRUS,CABA,35.3867972799,-80.5518444037,183253,209150,14.131828674018978,25897
CHATHAM,CHAT,35.7025721306,-79.2552758614,65152,74264,13.985756385068763,9112
WAKE,WAKE,35.7902442783,-78.6503078949,944622,1070197,13.293677259263495,125575
MECKLENBURG,MECK,35.2464414431,-80.8326090433,961255,1088350,13.22177778008957,127095
CURRITUCK,CURR,36.3672994877,-75.9369491992,24118,27099,12.360063023467948,2981
UNION,UNIO,34.9883998951,-80.5307196787,207438,232465,12.06480972627966,25027
NEW HANOVER,NEWH,34.1814618077,-77.8655136447,209734,232248,10.734549476956525,22514
DURHAM,DURH,36.0360295274,-78.8765927905,281509,311163,10.533943852594412,29654
FRANKLIN,FRAN,36.082773352,-78.2856965867,61618,68012,10.37683793696647,6394
