FID,OBJECTID,PERIMETER,CO_NAME,CO_ABBR,ACRES,Shape_Leng,Shape_Area,RO
1,1,156472.984375,ROCKINGHAM,ROCK,366053.0625,513361.787377,15945261643.2,WSRO
2,2,166183.5,GUILFORD,GUIL,420968.9375,545220.367738,18337394618.9,WSRO
3,3,143114.546875,ALAMANCE,ALAM,278127.03125,469534.986553,12115206198.5,WSRO
4,4,116938.171875,ALEXANDER,ALEX,168640.984375,383654.655146,7345996918.97,MRO
5,5,180894.171875,RANDOLPH,RAND,505667.96875,593483.622166,22026881771.3,WSRO
6,6,174751.765625,WAYNE,WAYN,356469.25,573331.446435,15527790010.1,WARO
7,7,159013.59375,ASHE,ASHE,273892.96875,521697.103962,11930770237,WSRO
8,8,132949.109375,ALLEGHANY,ALLE,150006.015625,436183.860267,6534257979.84,WSRO
9,9,198715.75,CURRITUCK,CURR,283933.65625,651953.268482,12368142399.3,WARO
10,10,203025.140625,CAMDEN,CAMD,195563.296875,666091.672566,8518732132.86,WARO
11,11,174563.109375,SURRY,SURR,345225.15625,572712.492642,15037999001.9,WSRO
12,12,134811.796875,GATES,GATE,221245.71875,442295.032148,9637456883.36,WARO
13,13,178531.078125,HERTFORD,HERT,231307.421875,585730.729172,10075744740.6,WARO
14,14,233920.75,NORTHAMPTON,NORT,351931.65625,767455.019743,15330134174.1,RRO
15,15,138205.25,STOKES,STOK,291801.6875,453428.400721,12710872868,WSRO
16,16,150724.609375,WARREN,WARR,283768.28125,494502.320681,12360938481.3,RRO
17,17,118698.65625,VANCE,VANC,172724.4375,389430.502761,7523871764.2,RRO
18,18,174102.328125,GRANVILLE,GRAN,343236.40625,571200.735994,14951367501.1,RRO
19,19,133013.5,CASWELL,CASW,274504.8125,436395.133081,11957421743.3,WSRO
20,20,129423.320313,PERSON,PERS,258586.328125,424616.349338,11264013569.2,RRO
21,21,162068.828125,PASQUOTANK,PASQ,185082.4375,531720.831869,8062185261.48,WARO
22,22,270593.875,HALIFAX,HALI,468009.03125,887773.519197,20386459635.5,RRO
23,23,216503.140625,WILKES,WILK,485694.34375,710310.736471,21156832622.4,WSRO
24,24,133521.765625,WATAUGA,WATA,200036.21875,438062.624795,8713572255.03,WSRO
25,25,133816.640625,PERQUIMANS,PERQ,210532.84375,439030.094037,9170804418.9,WARO
26,26,133144.65625,CHOWAN,CHOW,149345.109375,436825.398959,6505468400.6,WARO
27,27,131006.046875,AVERY,AVER,158360.890625,429808.999377,6898195954.06,ARO
28,28,137763.21875,YADKIN,YADK,216142.59375,451978.193755,9415165397.5,WSRO
29,29,289002.53125,DARE,DARE,799121.875,948169.064091,34809724473,WARO
30,30,149433.875,FORSYTH,FORS,263718.1875,490267.613211,11487557442.6,WSRO
31,31,172475.375,FRANKLIN,FRAN,316685.28125,565862.937725,13794802003,RRO
32,32,250455.5,BERTIE,BERT,474421.625,821702.72538,20665792316.3,WARO
33,33,132175.875,ORANGE,ORAN,256968.78125,433647.028113,11193552383,RRO
34,34,137208.90625,DURHAM,DURH,191089.515625,450159.540736,8323854304.72,RRO
35,35,188138.15625,NASH,NASH,347339.28125,617249.906029,15130089355.8,RRO
36,36,167614.421875,MITCHELL,MITC,141835.46875,549915.023287,6178348983.23,ARO
37,37,178221.984375,EDGECOMBE,EDGE,324302.0625,584716.749484,14126588404,RRO
38,38,164491.828125,CALDWELL,CALD,303783.1875,539670.255657,13232786405.3,ARO
39,39,212426.296875,TYRRELL,TYRR,389776.34375,696935.292909,16978646865.6,WARO
40,40,162933.1875,YANCEY,YANC,200344.609375,534556.633098,8727005104.99,ARO
41,41,199718.171875,MADISON,MADI,289128.75,655242.018173,12594439879.3,ARO
42,42,224334.859375,MARTIN,MART,295971.84375,736005.281077,12892526099.5,WARO
43,43,216781.765625,WAKE,WAKE,547995.375,711224.841117,23870662601,RRO
44,44,145180.34375,DAVIE,DAVE,170591.46875,476312.511164,7430959110.78,WSRO
45,45,146686.421875,WASHINGTON,WASH,265590.1875,481253.712706,11569100636.3,WARO
46,46,191884.59375,BURKE,BURK,328395.875,629541.373317,14304914579,ARO
47,47,195511.96875,DAVIDSON,DAVS,363215.0625,641442.181717,15821637897.8,WSRO
48,48,178542.265625,MCDOWELL,MCDO,286755.8125,585767.424022,12491074436.2,ARO
49,49,223043.875,CHATHAM,CHAT,453690.21875,731769.814849,19762733485.9,RRO
50,50,132574.046875,WILSON,WILS,239491.078125,434953.318022,10432224100.5,RRO
51,51,238712.78125,BUNCOMBE,BUNC,422189.1875,783176.809942,18390549247.5,ARO
52,52,202233.390625,HAYWOOD,HAYW,354865.09375,663494.060185,15457913296.5,ARO
53,53,149383.90625,CATAWBA,CATA,264833.71875,490103.714376,11536148499.6,MRO
54,54,222342.0625,PITT,PITT,419067.875,729467.207845,18254584818.7,WARO
55,55,202073.828125,JOHNSTON,JOHN,509250.4375,662970.49749,22182934718.9,RRO
56,56,257407.46875,SWAIN,SWAI,345587.9375,844511.048543,15053801551.3,ARO
57,57,265110.375,BEAUFORT,BEAU,613372.375,869782.94322,26718483297.4,WARO
58,58,309015.25,HYDE,HYDE,882040.875,1013827.50335,38421675742.4,WARO
59,59,122934.226563,GREENE,GREE,170453.796875,403326.740828,7424962183.23,WARO
60,60,195801.34375,RUTHERFORD,RUTH,361791.0625,642391.580224,15759608008.4,ARO
61,61,126332.328125,LEE,LEE,165914.546875,414475.335833,7227233078.54,RRO
62,62,157151.15625,CLEVELAND,CLEV,299697.625,515586.753577,13054821218.4,MRO
63,63,196354.328125,JACKSON,JACK,316710.53125,644205.828107,13795902926.8,ARO
64,64,179126.390625,HARNETT,HARN,384759.03125,587683.883751,16760093161.9,FRO
65,65,144226.09375,GRAHAM,GRAH,192911.859375,473181.756187,8403235385.1,ARO
66,66,179688.703125,HENDERSON,HEND,240054.984375,589528.666992,10456788029.6,ARO
67,67,225127.625,MOORE,MOOR,451347.3125,738606.285338,19660675261.7,FRO
68,68,180910.703125,MONTGOMERY,MONT,320860.09375,593537.86332,13976656836.2,FRO
69,69,166794.796875,STANLY,STAN,258886.5625,547225.909819,11277091742.6,MRO
70,70,164070.5625,TRANSYLVANIA,TRAN,243392.546875,538288.198094,10602172583.9,ARO
71,71,115044.96875,POLK,POLK,152720.03125,377443.378409,6652480300.79,ARO
72,72,167432.375,LENOIR,LENO,257265.828125,549317.74939,11206492142.2,WARO
73,73,280975.5625,CRAVEN,CRAV,493361.53125,921834.001043,21490814935.6,WARO
74,74,198550.5625,MACON,MACO,332573.15625,651411.315584,14486877792.6,ARO
75,75,186551.625,CHEROKEE,CHER,298867.15625,612044.822389,13018645188.3,ARO
76,76,180575.625,PAMLICO,PAML,359453.1875,592438.54375,15657771571,WARO
