County,2012,2013,2014,2015,2016,2017,2018
Alamance ,152545,153274,155070,156554,159836,163045,166638
Alexander ,37323,37414,37597,37550,37908,38070,38303
Alleghany ,10993,11065,11180,11237,11297,11378,11422
Anson ,26597,26288,26304,26035,25644,25490,25288
Ashe ,27170,27149,27203,26989,27072,27297,27606
Avery ,17810,17844,17871,17764,17857,17970,18057
Beaufort ,47790,47667,47585,47612,47473,47458,47475
Bertie ,20574,20463,20454,20409,19798,19780,19709
Bladen ,35103,35043,35040,34898,34664,34522,34566
Brunswick ,112409,115284,119050,122957,127152,131644,137103
Buncombe ,244725,247951,250552,253775,257259,259082,261065
Burke ,89619,89151,89151,89321,90123,91077,91402
Cabarrus ,183253,186067,190218,194982,200230,204865,209150
Caldwell ,82695,82605,82598,82765,83143,83227,83291
Camden ,9966,10075,10210,10214,10290,10352,10490
Carteret ,68434,69235,69497,69742,69871,70247,70696
Caswell ,23487,23688,23482,23491,23527,23480,23679
Catawba ,155692,155582,155977,156197,156774,157424,158483
Chatham ,65152,66117,67373,69228,70746,72570,74264
Cherokee ,27414,27443,27517,27729,28544,28879,29275
Chowan ,14689,14770,14572,14431,14278,14204,14173
Clay ,10709,10831,10830,10969,11200,11457,11658
Cleveland ,97523,97246,97646,97755,98069,98393,99140
Columbus ,57989,57726,57504,57188,56842,56699,56424
Craven ,105170,104213,104069,103111,103184,103426,103594
Cumberland ,330007,332224,329360,329046,330048,328529,331764
Currituck ,24118,24414,24986,25538,26022,26673,27099
Dare ,34759,35136,35377,35756,36167,36680,36997
Davidson ,162994,163498,163869,164418,165613,166591,168093
Davie ,41276,41403,41345,41625,42142,42635,42976
Duplin ,59690,59807,59911,59769,59837,59647,59772
Durham ,281509,286383,292305,296917,302879,306465,311163
Edgecombe ,55975,55545,55332,54268,53458,53159,52724
Forsyth ,357490,359892,363212,365378,369029,372845,376309
Franklin ,61618,62473,63104,64069,65260,66577,68012
Gaston ,208317,209364,210195,212197,215269,218445,221006
Gates ,12104,11882,11943,11819,11984,12021,12094
Graham ,8862,8860,8820,8751,8830,8752,8686
Granville ,57686,57564,57819,58226,59048,60112,60700
Greene ,21239,20960,21101,21016,21274,21305,21024
Guilford ,501431,507000,511636,516493,523934,528041,534346
Halifax ,53977,53447,52905,52212,52116,51973,51552
Harnett ,121317,123428,125600,127038,129434,131042,133172
Haywood ,59150,59545,59810,60451,61534,62488,62839
Henderson ,107740,108752,110485,111854,113889,115384,116857
Hertford ,24548,24623,24591,24508,24238,24054,24093
Hoke ,50000,50581,50813,51735,52138,53331,53992
Hyde ,5708,5745,5670,5571,5570,5442,5198
Iredell ,162819,164834,166862,169776,173088,176089,178730
Jackson ,40706,40826,41131,41590,43003,43544,43819
Johnston ,174207,176620,179734,183619,188749,193902,199790
Jones ,10410,10355,10245,10205,10123,10123,10196
Lee ,58820,59028,58930,58711,59181,59810,60878
Lenoir ,59280,58853,58557,58225,57653,57175,56856
Lincoln ,78757,79217,79892,80936,81884,83052,84751
Macon ,34050,34184,34529,34803,35117,35614,36101
Madison ,21216,21415,21619,21739,22039,22215,22361
Martin ,23806,23583,23565,23544,23453,23303,23264
McDowell ,45267,45284,45329,45447,45531,46099,46373
Mecklenburg ,961255,990504,1010400,1033682,1054613,1073159,1088350
Mitchell ,15349,15328,15258,15187,15145,15167,15223
Montgomery ,27796,27702,27668,27744,27702,27733,27621
Moore ,90560,91721,92903,94159,95812,97625,99390
Nash ,95212,94504,94320,94162,94302,94910,95327
New Hanover ,209734,213466,216910,219602,225070,229118,232248
Northampton ,21502,21267,21201,21143,20895,20908,20618
Onslow ,191183,193505,192684,193966,193505,196535,198740
Orange ,138300,139427,140103,140678,142148,142597,145574
Pamlico ,13138,13009,13118,13122,13278,13245,13359
Pasquotank ,40018,39257,39459,39554,39894,39780,39790
Pender ,54070,55194,56320,57761,59258,60771,62168
Perquimans ,13733,13811,13720,13701,13654,13678,13652
Person ,39115,39138,39247,39538,39753,39882,40208
Pitt ,172509,173875,174211,175475,176060,177705,178440
Polk ,20309,20589,20818,20896,21127,21303,21535
Randolph ,142419,142398,142749,142816,143444,143620,144085
Richmond ,46146,45924,45439,45353,44957,45155,45199
Robeson ,134399,134138,133659,133493,132787,132041,131600
Rockingham ,92800,92210,92441,92055,91936,91447,91746
Rowan ,137765,138118,138897,139639,140557,141445,141802
Rutherford ,67920,67705,67545,67627,67679,68279,68423
Sampson ,63967,64152,64160,63900,63661,63872,64087
Scotland ,36262,36079,35971,35718,35842,35843,35744
Stanly ,60363,60586,61026,61212,61696,62736,63328
Stokes ,46995,46648,46723,46557,46581,46617,46472
Surry ,73472,73014,73432,72535,72732,73047,73232
Swain ,14423,14538,14785,14867,14729,14713,14442
Transylvania ,33020,33153,33400,33725,34074,34495,35115
Tyrrell ,4135,4138,4144,4219,4133,4304,4260
Union ,207438,210937,215312,219243,223663,228061,232465
Vance ,45478,44987,44989,45006,44987,45144,45764
Wake ,944622,963856,983918,1006139,1028509,1049943,1070197
Warren ,20828,20618,20642,20603,20287,20249,20066
Washington ,12767,12799,12614,12527,12384,12319,12153
Watauga ,52439,52664,52963,53780,55142,56294,57067
Wayne ,125169,125450,125646,125217,125120,124086,124703
Wilkes ,69372,69286,69413,69446,69844,69795,69913
Wilson ,81314,80929,80866,81217,81483,81597,81949
Yadkin ,38269,38160,37850,37730,37828,38140,38100
Yancey ,17874,17899,17888,17932,18093,18289,18455
