Area Name,Area Type,Year,Variable,Value
New Hanover ,,2012,Public College Enrollment,4110
Mecklenburg ,,2013,Public College Enrollment,17005
Union ,,2012,Private College Enrollment,883
Currituck ,,2016,Private College Enrollment,32
Johnston ,,2014,Private College Enrollment,705
Wake ,,2014,Public College Enrollment,23033
Brunswick ,,2014,Public College Enrollment,983
New Hanover ,,2012,Private College Enrollment,564
Mecklenburg ,,2012,Public College Enrollment,17102
Currituck ,,2014,Private College Enrollment,48
Chatham ,,2014,Public College Enrollment,776
Brunswick ,,2016,Public College Enrollment,1020
Brunswick ,,2015,Private College Enrollment,216
Currituck ,,2015,Public College Enrollment,303
Johnston ,,2013,Public College Enrollment,2017
Pender ,,2018,Public College Enrollment,904
Pender ,,2017,Public College Enrollment,824
Chatham ,,2017,Public College Enrollment,1045
Chatham ,,2016,Public College Enrollment,972
Johnston ,,2015,Private College Enrollment,712
Johnston ,,2014,Public College Enrollment,2114
Brunswick ,,2013,Public College Enrollment,965
Johnston ,,2017,Public College Enrollment,2662
Durham ,,2017,Private College Enrollment,1069
New Hanover ,,2016,Private College Enrollment,424
Durham ,,2013,Public College Enrollment,5003
Cabarrus ,,2015,Public College Enrollment,3721
Chatham ,,2015,Public College Enrollment,860
Durham ,,2015,Public College Enrollment,5010
Cabarrus ,,2013,Public College Enrollment,3381
Chatham ,,2013,Public College Enrollment,753
Pender ,,2013,Private College Enrollment,127
Union ,,2018,Public College Enrollment,5382
Wake ,,2012,Public College Enrollment,21715
Durham ,,2016,Private College Enrollment,1049
Currituck ,,2016,Public College Enrollment,290
Durham ,,2012,Private College Enrollment,1186
Union ,,2013,Private College Enrollment,929
New Hanover ,,2013,Private College Enrollment,550
Wake ,,2017,Public College Enrollment,24508
Johnston ,,2015,Public College Enrollment,2269
Chatham ,,2014,Private College Enrollment,134
Union ,,2014,Private College Enrollment,963
Currituck ,,2012,Public College Enrollment,304
Brunswick ,,2013,Private College Enrollment,208
Franklin ,,2012,Private College Enrollment,195
Wake ,,2018,Public College Enrollment,25662
Mecklenburg ,,2016,Private College Enrollment,3405
Johnston ,,2018,Public College Enrollment,2941
Franklin ,,2017,Public College Enrollment,756
Cabarrus ,,2016,Private College Enrollment,781
